LLM File,Program,KQuery File,Similarity (%)
result.txt,91,test000104.kquery,0.38
result.txt,91,test000105.kquery,0.57
result.txt,91,test000106.kquery,0.56
result.txt,91,test000107.kquery,0.57
result.txt,91,test000108.kquery,0.38
result.txt,91,test000109.kquery,0.56
result.txt,91,test000110.kquery,0.56
result.txt,91,test000111.kquery,0.58
result.txt,91,test000112.kquery,0.38
result.txt,91,test000113.kquery,0.61
result.txt,91,test000114.kquery,0.56
result.txt,91,test000115.kquery,0.61
result.txt,91,test000116.kquery,0.43
result.txt,91,test000117.kquery,0.38
result.txt,91,test000118.kquery,0.56
result.txt,91,test000119.kquery,0.61
result.txt,91,test000120.kquery,0.56
result.txt,91,test000121.kquery,0.56
result.txt,91,test000122.kquery,0.61
result.txt,91,test000123.kquery,0.56
result.txt,91,test000124.kquery,0.38
result.txt,91,test000125.kquery,0.38
result.txt,91,test000126.kquery,0.61
result.txt,91,test000127.kquery,0.61
result.txt,91,test000128.kquery,0.56
result.txt,91,test000129.kquery,0.56
result.txt,91,test000130.kquery,0.48
result.txt,91,test000131.kquery,0.62
result.txt,91,test000132.kquery,0.38
result.txt,91,test000133.kquery,0.38
result.txt,91,test000134.kquery,0.61
result.txt,91,test000135.kquery,0.61
result.txt,91,test000136.kquery,0.61
result.txt,91,test000137.kquery,0.61
result.txt,91,test000138.kquery,0.37
result.txt,91,test000139.kquery,0.61
result.txt,91,test000140.kquery,0.61
result.txt,91,test000141.kquery,0.37
result.txt,91,test000142.kquery,0.61
result.txt,91,test000143.kquery,0.61
result.txt,91,test000144.kquery,0.54
result.txt,91,test000145.kquery,0.61
result.txt,91,test000146.kquery,0.61
result.txt,91,test000147.kquery,0.61
result.txt,91,test000148.kquery,0.37
result.txt,91,test000149.kquery,0.37
result.txt,91,test000150.kquery,0.61
result.txt,91,test000151.kquery,0.37
result.txt,91,test000152.kquery,0.61
result.txt,91,test000153.kquery,0.61
result.txt,91,test000154.kquery,0.61
result.txt,91,test000155.kquery,0.54
result.txt,91,test000156.kquery,0.37
result.txt,91,test000157.kquery,0.61
result.txt,91,test000158.kquery,0.61
result.txt,91,test000159.kquery,0.37
result.txt,91,test000160.kquery,0.37
result.txt,91,test000161.kquery,0.61
result.txt,91,test000162.kquery,0.61
result.txt,91,test000163.kquery,0.61
result.txt,91,test000164.kquery,0.61
result.txt,91,test000165.kquery,0.61
result.txt,91,test000166.kquery,0.61
result.txt,91,test000167.kquery,0.37
result.txt,91,test000168.kquery,0.61
result.txt,91,test000169.kquery,0.54
result.txt,91,test000170.kquery,0.61
result.txt,91,test000171.kquery,0.37
result.txt,91,test000172.kquery,0.61
result.txt,91,test000173.kquery,0.61
result.txt,91,test000174.kquery,0.61
result.txt,91,test000175.kquery,0.37
result.txt,91,test000176.kquery,0.61
